"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Antigua and Barbuda","ATG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11087.0174694648","11594.5750617968","11766.78311059","12415.4125099762","13141.2021346337","12516.6004050914","13236.8707325167","13732.7668301844","14108.1120666511","14554.4808304526","15312.5664983907","14907.0726348617","15372.5781886274","16426.9243062482","17593.8762368924","19067.0682963067","22040.9136607626","24503.8448722277","24723.1118920226","21671.3757490895","20151.3098656076","19987.9241389288","20919.6550057426","20999.0169177438","22133.7550197495","23062.2782651263","",
"Australia","AUS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17347.494940429","17803.0416147267","18207.9750652237","19157.964957298","20087.9475195383","20979.9699040187","22048.773918215","22992.9406556154","24216.7334319332","25268.5198066101","26374.7157523647","27399.1779868808","28685.30613792","29691.5345836535","31312.7929881068","32559.4592872484","34324.9717257015","36565.5184663837","37479.2891201982","40256.051268311","39169.5599762226","41763.118511715","42596.2941186879","45574.6328338606","46298.6871835483","46270.7993394433","",
"Austria","AUT","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19394.2337451815","20523.5215739213","21196.2661572431","21635.7507111965","22540.043350281","23587.9384875868","24475.6212256096","25350.5991044428","26577.1066343715","27547.9455353954","29301.086978103","29725.4273319126","31119.209993289","31987.2205727444","33649.4133507071","34866.8404371477","37455.5102148912","39150.8772830426","41058.6305391381","40704.4097144008","41906.7295926896","44237.9603165389","46233.3962433905","47764.8231225209","48658.9800853565","49429.5555464607","",
"Azerbaijan","AZE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5502.43398864152","5558.81841314857","4334.43366410288","3361.03549662053","2719.34022718708","2420.44486439699","2471.58587927039","2634.15863088586","2901.35167222536","3136.09389310516","3534.32914766215","3942.08488219485","4393.96719931842","4945.90791637216","5551.44884183019","7169.15043103855","9830.16260573868","12477.3846859443","13799.7861400733","14900.5086642522","15627.6056198817","15754.1523626148","16180.8871503048","17171.7613655508","17607.6228933646","17779.7737640128","",
"Burundi","BDI","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","678.120563155809","717.017624177528","723.717333436355","680.30345504941","655.7380116408","606.024361082701","559.260074880577","552.203539722013","576.492764091992","569.624802822697","565.357932485972","574.868260833727","591.494015896095","576.478186437433","599.856098599595","603.265540637776","632.647435840208","656.867748897202","679.061455713683","683.468685414746","693.470003441916","712.670483388994","730.033565596062","750.594403135769","773.703029354352","727.150789510659","",
"Belgium","BEL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18757.8052190019","19664.2430672593","20337.6776840699","20540.8822422029","21588.3411808379","22516.9620924786","22892.2191090003","23910.8591972737","24539.0480972075","25642.2616549851","27966.9388039373","29024.907963368","30482.7735691881","31054.6435626054","32260.7728984623","33332.3527523554","35406.6227952578","36858.1933154248","38133.5122346365","38047.677270766","40129.426334665","41248.6927004621","42354.6205551755","43489.4126997233","44746.8183750946","45757.457809482","",
"Benin","BEN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","941.071648779186","978.041057917214","992.446566406363","1036.02393656124","1041.32594979962","1089.85478726352","1122.0005736513","1171.55948928145","1196.35453199066","1242.71667628158","1305.03460249102","1361.7284916555","1400.04975629391","1428.79277939876","1483.35774276786","1507.89116059976","1565.55691021423","1651.80866532324","1714.28020892631","1716.20726781722","1723.79692585274","1761.57433063086","1829.72888782437","1940.41610545294","2045.97178728552","2056.70077153774","",
"Burkina Faso","BFA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","545.726457297527","598.789767239674","597.554203006461","616.027381429137","620.261080740302","651.262764018756","716.115603080792","753.11096095742","794.327675036064","841.533190472309","852.389067249283","903.33882938931","930.091400421234","993.505832877335","1035.7242878586","1127.55914656743","1198.07512769788","1241.94303860926","1299.21785058829","1307.25617695373","1392.18904933979","1470.43518369954","1547.64937170827","1614.37864377173","1660.46463961144","1696.02560145402","",
"Bangladesh","BGD","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","834.048208314477","871.079876567099","918.454868737846","963.303479112692","1000.28376306561","1050.6544995387","1094.56769345665","1138.93429865409","1185.98771677334","1235.14751519122","1304.44235793031","1375.75911356803","1424.31223331065","1495.5292207013","1591.40438931671","1724.42770760079","1871.00013546296","2031.77852150986","2171.6297284589","2273.16420141086","2401.71873977807","2579.33504808833","2764.78192830626","2942.373186515","3138.24245715061","3339.58928290928","",
"Bulgaria","BGR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5187.77632341342","4956.5919799656","4751.65326560462","4831.08200484258","5040.68101358623","5316.62082160478","5624.80748176377","5684.7087881109","6007.1981946621","5751.46126326044","6370.55793273078","6954.18805044307","7766.23680681338","8379.25637837523","9177.37902581687","10275.0206022638","11377.809909853","12897.9052309195","14395.6304197983","14133.0669493383","14962.9340522603","15676.1209786733","16208.3243061381","16646.7848341199","17406.0984643757","18248.7799400268","",
"Bahrain","BHR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22694.4044294228","25381.5479907991","27003.1035858761","30449.5896828258","30259.5953926574","31274.4335129062","32232.2367215274","32781.4750446085","33588.4798124639","34300.768862477","35503.034170677","35715.0177693231","35995.447614629","37073.1031561249","38411.8005657792","39449.6224277186","39896.1692462937","40648.9699281983","40514.0427826861","39025.5393279867","39105.3157095522","39311.3251579994","40669.7045015286","43053.4107615584","45310.9588503698","46586.0687047553","",
"Bahamas, The","BHS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15693.3786243117","15253.2558345868","14721.3401292816","14837.4466755075","15361.9533826821","16120.8374068329","16888.9319783764","17338.2009669972","18157.7264972692","19515.9565797987","20486.8373590384","21131.6689024507","21606.4371551766","21304.6613470209","21619.3946485119","22602.8862149903","23417.2343600181","23928.0213178184","23397.8157719741","22196.8194943696","22431.1376351944","22665.1675571131","23432.4008488957","23469.6166595008","23441.1021553659","23001.0071487439","",
"Bosnia and Herzegovina","BIH","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","938.375265778724","1190.90132553163","2332.64702672862","3214.88953961175","3760.18325404826","4174.83975005299","4494.59810752216","4706.56430036037","5070.58602110744","5295.30371189458","5774.6405740399","6365.86629091876","7270.55915917939","8018.74648504795","8822.59887944928","8793.37400451033","9042.10622634554","9523.10675153913","9691.69573908982","10202.7616074878","10472.717494029","10851.7186290018","",
"Belarus","BLR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5224.69991936711","5331.20532535228","4918.65538524668","4642.51911573879","4191.49626394403","3846.32104792354","4039.67425565498","4596.6725799186","5060.88044138189","5335.42541714394","5800.59459915412","6245.07977287257","6703.40341856874","7370.01729447572","8497.49376080183","9661.13942027129","11021.0260723492","12343.8750785796","13917.778665559","14082.8863936947","15384.5141544801","16603.0880698274","17217.4555677919","17680.544850764","18290.7428591897","17740.5137307421","",
"Belize","BLZ","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3340.435795178","3742.60177669288","4218.14391724355","4513.05596903325","4523.37788386321","4528.80238275108","4530.43640307222","4600.51277991462","4642.54953551869","4940.08624325721","5519.88385276705","5750.34384448434","5968.634250202","6484.04599619061","6796.58012423881","7013.42502267669","7365.87625029607","7449.36127261147","7641.92850484227","7569.61916671234","7727.45457122219","7867.20481601468","8126.32147838221","8184.07377498869","8485.55540299269","8483.51686704276","",
"Bermuda","BMU","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26210.9109007466","26261.1259418547","27038.8767248633","28362.5661275732","28938.4392651508","30621.6915800819","31787.7790998267","33613.3724699575","35044.9513449448","36579.5634273514","40535.2082576999","43976.0925063775","43706.034736478","45797.3203552513","47835.4392260251","49877.2841082861","53949.4237061828","56640.9889952538","58288.6120944144","55320.1617108278","55254.2141192067","54984.5103947777","53097.6962878821","52436.056406239","","","",
"Bolivia","BOL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2396.15334843774","2555.51053199546","2604.95178732794","2726.45500762635","2857.45886630463","2993.85898691193","3119.33242030613","3264.99821370824","3399.30855688308","3399.79120747322","3497.33651555229","3570.1137273584","3647.63157998868","3753.11206106958","3946.77338704777","4180.38824858975","4438.69178469972","4685.00000504414","4986.9588396056","5108.88891598359","5298.22135054232","5598.58149037185","5899.80221878483","6303.44147284192","6662.80146581681","6953.82710003201","",
"Brazil","BRA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6639.80047218272","6849.59685764583","6862.53064650194","7240.19371781505","7669.73826967129","8050.21503243745","8248.98507245816","8541.15579355829","8529.81922061489","8568.4868665197","8987.18722517718","9182.22021711203","9468.47504679828","9630.14421171016","10324.9310302272","10860.5243822541","11502.2731139079","12389.5965227856","13140.8654606355","13094.1360198741","14114.5928383374","14836.3813561222","15256.6084281596","15823.6072318194","16045.2274558944","15473.6936417819","",
"Barbados","BRB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8595.25056101723","8505.34347388453","8175.11607609603","8407.49559225538","8727.49487425636","9057.29734688979","9553.1768331377","10138.9872600217","10592.5025647155","10750.6893507949","11445.8794324354","11393.775589974","11626.1468743732","12080.6470870423","12549.1937057641","13421.2514143603","14563.1748138783","15153.1485385022","15446.6411686752","14874.632388653","15035.4176903913","15404.8013543766","15680.7272905829","15870.4576454958","16136.5647641399","16405.7625999126","",
"Brunei Darussalam","BRN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55119.7519379712","57095.9954886943","59461.6126728878","59374.7630367489","60868.7633675184","63251.6502437897","64630.4351084599","63243.6488635044","62143.0886306804","63626.4920123484","65563.4881926911","67565.0197328844","69949.3331585771","72119.2658112178","73189.8420057467","74540.5990755658","78845.3885407245","79702.9806681722","78366.0057134212","76306.577742688","77992.2878307711","81314.2690980757","82317.3615655222","80677.3141110235","79059.488901791","78369.2910162597","",
"Bhutan","BTN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1507.86214869201","1554.09666629512","1683.41312434441","1788.99588915594","1945.52704605182","2136.98824747008","2281.49667537561","2405.15910777828","2514.28408781463","2681.77022922523","2850.81599136758","3064.827798501","3344.1598823382","3564.72322466841","3770.09468533672","4060.20167468669","4365.9359055514","5172.72695391386","5418.20202572571","5717.16573671645","6354.39393447452","6882.68840700056","7251.43319165982","7417.44407632728","7875.8008249096","8369.82535007779","",
"Botswana","BWA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5234.81976631378","5647.62385420139","5780.59736319865","5871.11794942779","6057.04174988512","6462.0882884489","6810.13328240412","7327.99929725251","7317.55606527293","8003.46397668092","8212.66963485691","8296.88467397444","8814.82998778164","9283.01739550042","9661.28731429206","10268.5113418849","11277.6202170614","12310.2912677378","13081.9978428238","11934.0570257542","12854.1607344746","13634.2634738515","14210.9622394779","15545.8651278576","16011.8684696706","15839.3023914309","",
"Central African Republic","CAF","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","602.9490287432","604.530024348054","563.944820568549","564.370832564301","589.228052761016","628.948701948237","600.18112535947","627.968095837616","649.918590034946","669.345251677186","654.50300806446","686.658899587385","710.228781877403","674.198777219502","722.3714073401","739.824692909104","785.094271743984","828.077811491423","845.902610747596","850.778049173403","870.739337462969","900.639784528143","936.638871114874","590.806980553098","595.795888331801","618.752858612893","",
"Canada","CAN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20107.8306877283","20060.6728229815","20446.6282009294","21255.0535745257","22465.8030545629","23354.2721887713","23904.848934067","25087.9972576757","26117.6117299565","27656.6769217414","29185.3550587258","30073.912805211","30851.3114815056","32189.0615956597","33754.8695616172","36134.6022423077","38009.875996482","39441.9677890234","40277.6193121099","38791.0746857483","40027.2402088674","41565.2712210369","42145.0978611317","44150.4137809156","45126.4587430013","44261.8379960269","",
"Central Europe and the Baltics","CEB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6874.70727167713","6447.17623794308","6494.69119152092","6753.24147745794","7186.39005447027","7769.48625936271","8284.47344872912","8674.39505561258","9063.44118784201","9374.54196414554","9997.42934666243","10802.1674236786","11593.4089695336","12330.5456633222","13462.8547023129","14283.3190956187","15884.4796455404","17631.2444711879","19519.3716067981","19520.6324586881","20755.3252850417","22156.2650037262","22943.7033928985","23975.5791955594","25053.0215167433","26155.7567610797","",
"Switzerland","CHE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27523.764398118","27829.4245956201","28139.4114487796","28511.7833485596","29254.1435922995","29808.0434431341","30499.9284501683","31799.7453580297","32877.5860461225","33810.7709650979","35675.0945314876","36862.1129358419","37682.1394697989","37611.5184239042","39135.8266891789","40457.7308617197","44951.6286562227","49467.2205543878","52317.5705429494","51632.6535918402","52935.8041360887","55918.732834321","57590.7011831417","59842.2648641137","61282.1098942725","62557.4913137437","",
"Channel Islands","CHI","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4407.20447861333","4887.03339064342","5579.52592917177","6077.83718749445","6528.17764857212","7338.52292692068","7993.25248294952","8599.41663129067","8907.98353016633","8846.42962041601","9848.8983965929","10249.826491738","10535.5604132836","11133.5707278671","11991.2725338787","12964.8049395778","15637.6964386248","16841.5600258445","16437.5720869356","16226.1486790037","18249.5407673687","20266.0360287537","21370.0993066438","22543.9437393023","22909.7962509559","23366.583911095","",
"China","CHN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","986.568444389243","1099.05230396832","1268.27170757021","1461.61044744351","1668.58075717199","1869.46644952724","2070.77175198216","2277.20700886889","2458.63083103441","2664.48521542596","2933.31501967982","3226.84867956197","3551.66389746997","3961.2741668221","4455.20532967429","5092.56018929034","5883.7197840162","6863.98222925066","7635.07313882711","8374.43285013331","9333.12488219983","10384.367316917","11351.0628425059","12367.965864317","13439.9076421309","14450.7162233394","",
"Cote d'Ivoire","CIV","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2081.51205529901","2077.38742866667","2047.10068503074","2021.61297493781","2013.65177815409","2133.24881076207","2269.52525368649","2325.24033957364","2398.61358418274","2411.94005759073","2360.2061393654","2367.1340178254","2319.37759662421","2292.62794366143","2343.02927003931","2415.25043659545","2478.83822658579","2538.1316769177","2598.68998591442","2645.43063428038","2671.13955296331","2546.90681230458","2803.70093712871","3027.65463862825","3262.72656405722","3513.68472575677","",
"Cameroon","CMR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1789.25837349077","1726.9019473478","1662.50490502852","1522.74274661194","1542.98112312131","1595.12267659342","1657.89045668956","1728.45853546805","1784.38881823159","1836.00101347293","1905.37095871236","1984.23793560505","2041.76012186486","2111.16425178734","2192.34974608017","2256.1973583548","2339.80725928293","2417.74892581232","2472.46953256389","2475.60567133384","2522.88180995012","2614.49556147628","2715.35411027364","2840.32136806036","2986.97418770438","3115.27881870257","",
"Congo, Dem. Rep.","COD","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","819.360585337791","746.584173048552","656.751896634924","559.156078293394","528.757781099337","525.787259650575","514.759553325746","481.591462142181","467.479829786406","443.292760697629","410.975954062147","399.860090908536","405.482684363643","423.099511861204","449.395902630601","476.73720497787","501.115432983522","529.221873392872","554.888364881265","556.728075085533","584.260054791406","617.147961359502","652.38858743842","696.873797437847","748.982308546287","784.365232149264","",
"Congo, Rep.","COG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3397.58607120388","3501.37114093542","3580.0674048229","3535.98119101745","3324.43988682543","3436.54923197916","3552.01403353295","3493.11394407345","3564.54055600701","3433.82336947347","3684.10008307332","3819.67936564898","3965.12327785305","3985.66779654709","4137.02194779133","4482.45359136926","4770.05789070539","4675.45670602191","4879.03855569495","5125.45061355392","5482.1113761029","5632.43587545625","5803.08880013078","5949.58527694585","6307.90169054866","6381.08725708581","",
"Colombia","COL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4869.162130875","5050.71925173355","5327.88535339145","5485.49926317622","5827.99664529434","6155.68836805799","6294.86516766295","6520.03700346587","6528.90067301478","6256.81018104118","6585.33397515009","6750.68713876565","6927.32091932611","7241.33194549199","7732.32056211839","8248.35496067314","8957.336622113","9710.90118299452","10132.2394853533","10260.2052170834","10680.0020763025","11496.5272523381","12058.461303685","12725.2098419121","13394.0791967416","13829.0682346055","",
"Comoros","COM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1025.25869023763","973.129727635163","1049.07060164188","1074.73626676073","1010.43598034818","1039.18770164534","1016.08911555085","1046.37999691478","1043.18080991948","1051.76507875454","1162.37502588255","1186.63794596508","1203.07710031857","1222.97814263121","1250.25368125966","1295.42876035121","1337.74011916335","1351.09760530186","1349.83694730389","1353.19547772652","1366.09713616737","1396.03335142985","1429.09388982125","1466.9373972671","1487.77721583784","1483.44093207654","",
"Cabo Verde","CPV","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1072.88168784598","1098.18906012612","1214.28138089871","1314.93351172891","1556.830676515","1766.69004853911","1951.1562934387","2149.79199956198","2386.44501462304","2634.08475096681","3014.57381317188","3091.34437392176","3245.29739917789","3393.99581576838","3791.2209301954","4137.48801145155","4566.16826805485","5365.04508984099","5803.38860180913","5739.3775283504","5850.1395558163","6147.97453394255","6256.80084139223","6327.24599173116","6475.75966220125","6556.4947113748","",
"Costa Rica","CRI","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5033.10156871434","5200.57413176846","5662.42872733916","6052.79490173174","6299.31801969626","6533.19329153596","6574.13182129861","6893.93397172636","7286.42271783729","7527.10771329171","7829.79900106808","8139.80603134276","8397.29427099661","8793.38527989532","9289.50110084689","9816.99657415617","10697.4734773507","11714.2254376098","12329.9356544817","12141.9403872381","12737.039791113","13397.1926887083","14133.609212421","14493.1420407515","15028.14728205","15594.635822811","",
"Caribbean small states","CSS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5888.67300137133","6183.27762265078","6290.17956829126","6579.52948861027","6841.88668152715","7127.60132611994","7438.84024264648","7747.81362366737","7978.96796167431","8367.88479157523","8819.5967285564","9167.33084364123","9633.47200403833","10445.4945209443","11163.1533437928","11881.0158666901","13072.239820709","13791.1760897028","14199.3786635184","13719.471544668","14012.9885347452","14360.6650374556","14717.3449582885","15139.8536920724","15414.6182078878","15535.4531961065","",
"Cuba","CUB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18924.7248666059","","","","","",
"Curacao","CUW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49902.1465489682","","","","","",
"Cyprus","CYP","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13171.3085237057","13360.0139488518","14556.562287538","14649.1600353145","15519.2850065449","16875.8269798899","17104.259807868","17852.8839460034","18931.2310923049","19881.0749769923","21695.8210910375","23297.3888591351","23964.8158759534","24300.6684617302","26092.0694847868","28169.4128647839","30496.0420683441","32985.9203120738","34823.5839891649","33922.8817506606","33294.9185777513","33192.5229371652","31877.6432844815","30610.8822520421","30482.6391988363","31539.4538026201","",
"Czech Republic","CZE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12608.5103420969","11542.6462216148","11733.9624314205","12008.0920815522","12615.869578809","13688.640800818","14538.3022393062","14679.6540927968","14864.8657719323","15289.1381559401","16132.3697481226","17556.2156951063","18141.6864571107","19361.2136786517","20781.3434045185","21909.5851740423","23751.7920408567","26058.2004212576","27784.1045712494","27567.2024606827","27659.2652379998","28797.4179611691","29047.2464395949","30513.2697853483","32386.2453117947","33770.4759278573","",
